state_code,decade,population,source
RI,1910,635000,extrapolated_from_1930_1940
RI,1920,661000,extrapolated_from_1930_1940
RI,1930,687000,census
RI,1940,713000,census
RI,1950,792000,census
RI,1960,859000,census
RI,1970,947000,census
RI,1980,947000,census
RI,1990,1003000,census
RI,2000,1048000,census
RI,2010,1053000,census
SC,1910,1417000,extrapolated_from_1930_1940
SC,1920,1578000,extrapolated_from_1930_1940
SC,1930,1739000,census
SC,1940,1900000,census
SC,1950,2117000,census
SC,1960,2383000,census
SC,1970,2591000,census
SC,1980,3122000,census
SC,1990,3487000,census
SC,2000,4012000,census
SC,2010,4625000,census
SD,1910,793000,extrapolated_from_1930_1940
SD,1920,743000,extrapolated_from_1930_1940
SD,1930,693000,census
SD,1940,643000,census
SD,1950,653000,census
SD,1960,681000,census
SD,1970,666000,census
SD,1980,691000,census
SD,1990,696000,census
SD,2000,755000,census
SD,2010,814000,census
TN,1910,2019000,extrapolated_from_1930_1940
TN,1920,2318000,extrapolated_from_1930_1940
TN,1930,2617000,census
TN,1940,2916000,census
TN,1950,3292000,census
TN,1960,3567000,census
TN,1970,3924000,census
TN,1980,4591000,census
TN,1990,4877000,census
TN,2000,5689000,census
TN,2010,6346000,census
TX,1910,4645000,extrapolated_from_1930_1940
TX,1920,5235000,extrapolated_from_1930_1940
TX,1930,5825000,census
TX,1940,6415000,census
TX,1950,7711000,census
TX,1960,9580000,census
TX,1970,11197000,census
TX,1980,14229000,census
TX,1990,16987000,census
TX,2000,20852000,census
TX,2010,25146000,census
UT,1910,424000,extrapolated_from_1930_1940
UT,1920,466000,extrapolated_from_1930_1940
UT,1930,508000,census
UT,1940,550000,census
UT,1950,689000,census
UT,1960,891000,census
UT,1970,1059000,census
UT,1980,1461000,census
UT,1990,1723000,census
UT,2000,2233000,census
UT,2010,2764000,census
VT,1910,362000,extrapolated_from_1930_1940
VT,1920,361000,extrapolated_from_1930_1940
VT,1930,360000,census
VT,1940,359000,census
VT,1950,378000,census
VT,1960,390000,census
VT,1970,445000,census
VT,1980,511000,census
VT,1990,563000,census
VT,2000,609000,census
VT,2010,626000,census
VA,1910,1910000,extrapolated_from_1930_1940
VA,1920,2166000,extrapolated_from_1930_1940
VA,1930,2422000,census
VA,1940,2678000,census
VA,1950,3319000,census
VA,1960,3967000,census
VA,1970,4648000,census
VA,1980,5347000,census
VA,1990,6187000,census
VA,2000,7079000,census
VA,2010,8001000,census
WA,1910,1217000,extrapolated_from_1930_1940
WA,1920,1390000,extrapolated_from_1930_1940
WA,1930,1563000,census
WA,1940,1736000,census
WA,1950,2379000,census
WA,1960,2853000,census
WA,1970,3409000,census
WA,1980,4132000,census
WA,1990,4867000,census
WA,2000,5894000,census
WA,2010,6724000,census
WV,1910,1383000,extrapolated_from_1930_1940
WV,1920,1556000,extrapolated_from_1930_1940
WV,1930,1729000,census
WV,1940,1902000,census
WV,1950,2006000,census
WV,1960,1860000,census
WV,1970,1744000,census
WV,1980,1950000,census
WV,1990,1793000,census
WV,2000,1808000,census
WV,2010,1853000,census
WI,1910,2541000,extrapolated_from_1930_1940
WI,1920,2740000,extrapolated_from_1930_1940
WI,1930,2939000,census
WI,1940,3138000,census
WI,1950,3435000,census
WI,1960,3952000,census
WI,1970,4418000,census
WI,1980,4706000,census
WI,1990,4892000,census
WI,2000,5364000,census
WI,2010,5687000,census
WY,1910,176000,extrapolated_from_1930_1940
WY,1920,201000,extrapolated_from_1930_1940
WY,1930,226000,census
WY,1940,251000,census
WY,1950,291000,census
WY,1960,330000,census
WY,1970,332000,census
WY,1980,470000,census
WY,1990,454000,census
WY,2000,494000,census
WY,2010,564000,census
DC,1910,331069,census
DC,1920,437571,census
DC,1930,486869,census
DC,1940,663091,census
DC,1950,802178,census
DC,1960,763956,census
DC,1970,756510,census
DC,1980,638333,census
DC,1990,606900,census
DC,2000,572059,census
DC,2010,601723,census
